id,label
TEST_0000,4
TEST_0001,1
TEST_0002,2
TEST_0003,2
TEST_0004,4
TEST_0005,4
TEST_0006,2
TEST_0007,2
TEST_0008,4
TEST_0009,2
TEST_0010,2
TEST_0011,2
TEST_0012,2
TEST_0013,1
TEST_0014,5
TEST_0015,2
TEST_0016,3
TEST_0017,3
TEST_0018,2
TEST_0019,2
TEST_0020,2
TEST_0021,2
TEST_0022,2
TEST_0023,5
TEST_0024,4
TEST_0025,2
TEST_0026,2
TEST_0027,2
TEST_0028,1
TEST_0029,2
TEST_0030,2
TEST_0031,2
TEST_0032,4
TEST_0033,2
TEST_0034,3
TEST_0035,2
TEST_0036,1
TEST_0037,2
TEST_0038,3
TEST_0039,2
TEST_0040,0
TEST_0041,2
TEST_0042,2
TEST_0043,2
TEST_0044,2
TEST_0045,4
TEST_0046,2
TEST_0047,3
TEST_0048,4
TEST_0049,4
TEST_0050,1
TEST_0051,2
TEST_0052,2
TEST_0053,2
TEST_0054,5
TEST_0055,2
TEST_0056,4
TEST_0057,1
TEST_0058,2
TEST_0059,2
TEST_0060,3
TEST_0061,2
TEST_0062,2
TEST_0063,0
TEST_0064,2
TEST_0065,4
TEST_0066,2
TEST_0067,2
TEST_0068,2
TEST_0069,2
TEST_0070,4
TEST_0071,2
TEST_0072,4
TEST_0073,2
TEST_0074,2
TEST_0075,2
TEST_0076,5
TEST_0077,2
TEST_0078,2
TEST_0079,2
TEST_0080,2
TEST_0081,2
TEST_0082,2
TEST_0083,4
TEST_0084,2
TEST_0085,3
TEST_0086,0
TEST_0087,2
TEST_0088,4
TEST_0089,2
TEST_0090,2
TEST_0091,2
TEST_0092,2
TEST_0093,0
TEST_0094,1
TEST_0095,3
TEST_0096,1
TEST_0097,2
TEST_0098,2
TEST_0099,2
TEST_0100,2
TEST_0101,2
TEST_0102,1
TEST_0103,2
TEST_0104,2
TEST_0105,1
TEST_0106,2
TEST_0107,2
TEST_0108,5
TEST_0109,2
TEST_0110,2
TEST_0111,0
TEST_0112,3
TEST_0113,4
TEST_0114,2
TEST_0115,2
TEST_0116,2
TEST_0117,2
TEST_0118,5
TEST_0119,3
TEST_0120,2
TEST_0121,1
TEST_0122,2
TEST_0123,2
TEST_0124,1
TEST_0125,3
TEST_0126,2
TEST_0127,4
TEST_0128,2
TEST_0129,2
TEST_0130,2
TEST_0131,2
TEST_0132,2
TEST_0133,4
TEST_0134,2
TEST_0135,4
TEST_0136,3
TEST_0137,4
TEST_0138,2
TEST_0139,0
TEST_0140,2
TEST_0141,2
TEST_0142,5
TEST_0143,4
TEST_0144,1
TEST_0145,2
TEST_0146,3
TEST_0147,5
TEST_0148,2
TEST_0149,4
TEST_0150,2
TEST_0151,1
TEST_0152,2
TEST_0153,2
TEST_0154,4
TEST_0155,3
TEST_0156,2
TEST_0157,4
TEST_0158,2
TEST_0159,2
TEST_0160,1
