ID,착과량(int)
TEST_0000,270.12955
TEST_0001,749.93353
TEST_0002,165.29723
TEST_0003,431.91824
TEST_0004,695.9913
TEST_0005,303.70645
TEST_0006,139.54144
TEST_0007,45.701515
TEST_0008,380.44742
TEST_0009,211.69398
TEST_0010,581.86316
TEST_0011,734.35785
TEST_0012,453.25388
TEST_0013,410.29324
TEST_0014,108.073875
TEST_0015,126.27953
TEST_0016,486.58554
TEST_0017,398.19852
TEST_0018,264.2691
TEST_0019,602.8279
TEST_0020,247.36684
TEST_0021,315.1451
TEST_0022,427.87604
TEST_0023,248.55698
TEST_0024,182.79132
TEST_0025,642.1331
TEST_0026,200.25737
TEST_0027,753.1592
TEST_0028,615.05304
TEST_0029,459.12198
TEST_0030,32.89618
TEST_0031,588.55066
TEST_0032,676.0477
TEST_0033,516.6244
TEST_0034,544.8795
TEST_0035,365.0615
TEST_0036,264.87827
TEST_0037,615.9181
TEST_0038,33.10018
TEST_0039,462.12637
TEST_0040,411.001
TEST_0041,175.48598
TEST_0042,707.90015
TEST_0043,66.10014
TEST_0044,594.54675
TEST_0045,323.19675
TEST_0046,769.7976
TEST_0047,498.3121
TEST_0048,372.8437
TEST_0049,483.0195
TEST_0050,526.9004
TEST_0051,665.16394
TEST_0052,421.25992
TEST_0053,490.00494
TEST_0054,410.56128
TEST_0055,187.97562
TEST_0056,722.5597
TEST_0057,523.56934
TEST_0058,589.2096
TEST_0059,523.916
TEST_0060,430.41592
TEST_0061,92.09835
TEST_0062,543.06104
TEST_0063,356.46
TEST_0064,491.67065
TEST_0065,361.31693
TEST_0066,484.1138
TEST_0067,444.28082
TEST_0068,172.50728
TEST_0069,686.47015
TEST_0070,742.47034
TEST_0071,747.3445
TEST_0072,629.7667
TEST_0073,297.7671
TEST_0074,191.58533
TEST_0075,258.53384
TEST_0076,183.57826
TEST_0077,663.4696
TEST_0078,730.35034
TEST_0079,353.71774
TEST_0080,254.143
TEST_0081,69.231544
TEST_0082,88.2922
TEST_0083,633.9397
TEST_0084,607.51215
TEST_0085,500.27194
TEST_0086,276.71347
TEST_0087,327.92886
TEST_0088,110.12247
TEST_0089,186.14679
TEST_0090,79.58117
TEST_0091,412.68542
TEST_0092,523.04285
TEST_0093,517.02234
TEST_0094,510.43735
TEST_0095,342.55173
TEST_0096,275.4526
TEST_0097,281.10287
TEST_0098,219.30034
TEST_0099,619.46436
TEST_0100,716.7285
TEST_0101,301.45715
TEST_0102,430.2722
TEST_0103,541.7939
TEST_0104,233.49823
TEST_0105,724.1332
TEST_0106,159.19046
TEST_0107,100.68514
TEST_0108,483.07205
TEST_0109,253.66302
TEST_0110,642.0618
TEST_0111,309.8593
TEST_0112,594.43225
TEST_0113,481.1621
TEST_0114,704.0117
TEST_0115,161.21721
TEST_0116,689.15137
TEST_0117,643.218
TEST_0118,345.67438
TEST_0119,495.75513
TEST_0120,173.0044
TEST_0121,476.5134
TEST_0122,324.10397
TEST_0123,516.29626
TEST_0124,722.14026
TEST_0125,553.16626
TEST_0126,297.72244
TEST_0127,582.2918
TEST_0128,518.355
TEST_0129,380.3744
TEST_0130,102.63354
TEST_0131,258.8918
TEST_0132,499.9089
TEST_0133,372.41406
TEST_0134,123.22625
TEST_0135,276.73288
TEST_0136,727.94147
TEST_0137,296.82883
TEST_0138,146.16829
TEST_0139,547.9119
TEST_0140,817.7464
TEST_0141,738.87024
TEST_0142,190.83856
TEST_0143,449.36246
TEST_0144,70.29429
TEST_0145,576.03186
TEST_0146,272.6845
TEST_0147,167.67137
TEST_0148,130.59471
TEST_0149,421.33755
TEST_0150,593.8197
TEST_0151,657.22125
TEST_0152,746.2731
TEST_0153,198.82353
TEST_0154,516.7644
TEST_0155,718.0782
TEST_0156,492.2867
TEST_0157,310.8692
TEST_0158,174.73221
TEST_0159,279.4515
TEST_0160,513.43915
TEST_0161,289.83792
TEST_0162,217.24304
TEST_0163,32.1715
TEST_0164,547.2606
TEST_0165,548.43506
TEST_0166,605.54333
TEST_0167,649.5812
TEST_0168,570.2549
TEST_0169,370.4603
TEST_0170,666.81506
TEST_0171,532.6917
TEST_0172,477.92575
TEST_0173,299.77365
TEST_0174,722.8816
TEST_0175,124.43101
TEST_0176,261.09583
TEST_0177,390.81088
TEST_0178,195.82318
TEST_0179,358.5234
TEST_0180,285.39774
TEST_0181,362.1973
TEST_0182,483.86694
TEST_0183,227.12408
TEST_0184,748.6765
TEST_0185,521.66565
TEST_0186,308.91797
TEST_0187,685.4245
TEST_0188,634.8134
TEST_0189,288.18698
TEST_0190,632.7544
TEST_0191,167.64938
TEST_0192,329.64893
TEST_0193,631.3323
TEST_0194,654.5596
TEST_0195,711.3372
TEST_0196,264.43976
TEST_0197,32.125065
TEST_0198,281.7158
TEST_0199,34.77092
TEST_0200,143.13275
TEST_0201,330.0359
TEST_0202,247.22575
TEST_0203,174.30794
TEST_0204,448.2164
TEST_0205,363.99924
TEST_0206,87.21262
TEST_0207,309.57806
TEST_0208,300.49084
TEST_0209,469.82938
TEST_0210,478.39368
TEST_0211,206.96524
TEST_0212,203.43983
TEST_0213,584.95
TEST_0214,337.29977
TEST_0215,46.179737
TEST_0216,732.3501
TEST_0217,155.14067
TEST_0218,474.85495
TEST_0219,440.57114
TEST_0220,191.5878
TEST_0221,348.72983
