ID,Book-Rating
TEST_000000,5.27592
TEST_000001,4.387577
TEST_000002,3.925844
TEST_000003,3.4460177
TEST_000004,4.7842603
TEST_000005,4.6270475
TEST_000006,4.389982
TEST_000007,3.7517629
TEST_000008,3.029225
TEST_000009,4.1751695
TEST_000010,6.549485
TEST_000011,7.6632204
TEST_000012,2.8357031
TEST_000013,3.0798275
TEST_000014,3.3628812
TEST_000015,3.2528696
TEST_000016,3.6425753
TEST_000017,3.2456176
TEST_000018,3.2721534
TEST_000019,8.046732
TEST_000020,4.559489
TEST_000021,8.422723
TEST_000022,4.43126
TEST_000023,4.680829
TEST_000024,4.707507
TEST_000025,5.033819
TEST_000026,4.766958
TEST_000027,4.5168605
TEST_000028,1.9934971
TEST_000029,3.0442073
TEST_000030,2.664442
TEST_000031,1.9616787
TEST_000032,1.2275301
TEST_000033,1.9839531
TEST_000034,4.1407866
TEST_000035,3.933317
TEST_000036,4.5829906
TEST_000037,4.4465947
TEST_000038,6.4074135
TEST_000039,2.5637674
TEST_000040,4.2914143
TEST_000041,5.0761213
TEST_000042,6.4670286
TEST_000043,4.263678
TEST_000044,4.625612
TEST_000045,4.0309825
TEST_000046,4.058518
TEST_000047,6.125143
TEST_000048,5.776476
TEST_000049,4.290681
TEST_000050,4.5920353
TEST_000051,3.896981
TEST_000052,3.2397223
TEST_000053,3.2971416
TEST_000054,3.3449657
TEST_000055,4.07103
TEST_000056,3.713217
TEST_000057,5.5014086
TEST_000058,1.9546014
TEST_000059,4.046642
TEST_000060,2.3548374
TEST_000061,2.360876
TEST_000062,2.685593
TEST_000063,3.2445216
TEST_000064,2.2301648
TEST_000065,5.3818674
TEST_000066,2.1119163
TEST_000067,2.6479697
TEST_000068,2.702957
TEST_000069,4.340218
TEST_000070,4.248063
TEST_000071,3.6477075
TEST_000072,4.5675645
TEST_000073,4.2209077
TEST_000074,2.7298641
TEST_000075,3.3642786
TEST_000076,2.5373502
TEST_000077,2.5501294
TEST_000078,2.9102426
TEST_000079,3.1404126
TEST_000080,4.5642433
TEST_000081,5.0624833
TEST_000082,6.337423
