,연도,일시,측정소,PM2.5
0,4,01-03 00:00,공주,0.08598666146365148
1,4,01-03 01:00,공주,0.08598666146365148
2,4,01-03 02:00,공주,0.08598666146365148
3,4,01-03 03:00,공주,0.08598666146365148
4,4,01-03 04:00,공주,0.08598666146365148
5,4,01-03 05:00,공주,0.08598666146365148
6,4,01-03 06:00,공주,0.08598666146365148
7,4,01-03 07:00,공주,0.08598666146365148
8,4,01-03 08:00,공주,0.08598666146365148
9,4,01-03 09:00,공주,0.08598666146365148
10,4,01-03 10:00,공주,0.08598666146365148
11,4,01-03 11:00,공주,0.08598666146365148
12,4,01-03 12:00,공주,0.08598666146365148
13,4,01-03 13:00,공주,0.08598666146365148
14,4,01-03 14:00,공주,0.08598666146365148
15,4,01-03 15:00,공주,0.08598666146365148
16,4,01-03 16:00,공주,0.08598666146365148
17,4,01-03 17:00,공주,0.08598666146365148
18,4,01-03 18:00,공주,0.08598666146365148
19,4,01-03 19:00,공주,0.08598666146365148
20,4,01-03 20:00,공주,0.08598666146365148
21,4,01-03 21:00,공주,0.08598666146365148
22,4,01-03 22:00,공주,0.08598666146365148
23,4,01-03 23:00,공주,0.08598666146365148
24,4,01-04 00:00,공주,0.08598666146365148
25,4,01-04 01:00,공주,0.08598666146365148
26,4,01-04 02:00,공주,0.08598666146365148
27,4,01-04 03:00,공주,0.08598666146365148
28,4,01-04 04:00,공주,0.08598666146365148
29,4,01-04 05:00,공주,0.08598666146365148
30,4,01-04 06:00,공주,0.08598666146365148
31,4,01-04 07:00,공주,0.08598666146365148
32,4,01-04 08:00,공주,0.08598666146365148
33,4,01-04 09:00,공주,0.08598666146365148
34,4,01-04 10:00,공주,0.08598666146365148
35,4,01-04 11:00,공주,0.08598666146365148
36,4,01-04 12:00,공주,0.08598666146365148
37,4,01-04 13:00,공주,0.08598666146365148
38,4,01-04 14:00,공주,0.08598666146365148
39,4,01-04 15:00,공주,0.08598666146365148
40,4,01-04 16:00,공주,0.08598666146365148
41,4,01-04 17:00,공주,0.08598666146365148
42,4,01-04 18:00,공주,0.08598666146365148
43,4,01-04 19:00,공주,0.08598666146365148
44,4,01-04 20:00,공주,0.08598666146365148
45,4,01-04 21:00,공주,0.08598666146365148
46,4,01-04 22:00,공주,0.08598666146365148
47,4,01-04 23:00,공주,0.08598666146365148
48,4,01-05 00:00,공주,0.08598666146365148
49,4,01-05 01:00,공주,0.08598666146365148
50,4,01-05 02:00,공주,0.08598666146365148
51,4,01-05 03:00,공주,0.08598666146365148
52,4,01-05 04:00,공주,0.08598666146365148
53,4,01-05 05:00,공주,0.08598666146365148
54,4,01-05 06:00,공주,0.08598666146365148
55,4,01-05 07:00,공주,0.08598666146365148
56,4,01-05 08:00,공주,0.08598666146365148
57,4,01-05 09:00,공주,0.08598666146365148
58,4,01-05 10:00,공주,0.08598666146365148
59,4,01-05 11:00,공주,0.08598666146365148
60,4,01-05 12:00,공주,0.08598666146365148
61,4,01-05 13:00,공주,0.08598666146365148
62,4,01-05 14:00,공주,0.08598666146365148
63,4,01-05 15:00,공주,0.08598666146365148
64,4,01-05 16:00,공주,0.08598666146365148
65,4,01-05 17:00,공주,0.08598666146365148
66,4,01-05 18:00,공주,0.08598666146365148
67,4,01-05 19:00,공주,0.08598666146365148
68,4,01-05 20:00,공주,0.08598666146365148
69,4,01-05 21:00,공주,0.08598666146365148
70,4,01-05 22:00,공주,0.08598666146365148
71,4,01-05 23:00,공주,0.08598666146365148
72,4,01-08 00:00,공주,0.08598666146365148
73,4,01-08 01:00,공주,0.08598666146365148
74,4,01-08 02:00,공주,0.08598666146365148
75,4,01-08 03:00,공주,0.08598666146365148
76,4,01-08 04:00,공주,0.08598666146365148
77,4,01-08 05:00,공주,0.08598666146365148
78,4,01-08 06:00,공주,0.08598666146365148
79,4,01-08 07:00,공주,0.08598666146365148
80,4,01-08 08:00,공주,0.08598666146365148
81,4,01-08 09:00,공주,0.08598666146365148
82,4,01-08 10:00,공주,0.08598666146365148
83,4,01-08 11:00,공주,0.08598666146365148
84,4,01-08 12:00,공주,0.08598666146365148
85,4,01-08 13:00,공주,0.08598666146365148
86,4,01-08 14:00,공주,0.08598666146365148
87,4,01-08 15:00,공주,0.08598666146365148
