id,count
0,108.52318
1,245.91457
2,91.19272
4,122.27785
5,124.28862
10,162.69362
11,173.48572
12,215.49652
15,77.25026
17,53.432808
18,245.35022
23,238.2424
25,173.02325
26,93.6042
31,230.41089
39,194.60794
40,63.47535
41,176.39
42,
43,208.54903
51,239.22232
52,76.726685
54,106.092094
60,196.71301
61,199.87923
62,175.57661
63,61.922558
65,170.1329
66,156.59723
68,192.59157
71,70.7199
80,98.537865
82,
94,212.57108
98,231.52365
101,85.73253
102,205.07187
107,148.6633
112,228.08578
113,78.8344
115,
116,193.48172
120,126.88962
121,79.290535
122,251.16225
132,202.75652
143,76.428955
147,
150,72.67328
151,84.28185
152,236.36353
153,121.52884
155,84.69015
156,160.85466
159,225.38806
161,124.62346
163,117.84932
177,205.9248
186,100.19516
188,103.66524
190,118.15503
191,109.56742
192,185.25298
195,232.74754
200,207.608
209,238.57437
210,71.86289
211,236.09926
214,195.54887
215,104.807846
218,160.33171
219,54.30496
222,136.50291
225,74.4039
228,252.42207
236,235.68085
241,115.93503
242,208.95467
243,246.20882
245,109.74979
247,245.98163
251,207.9171
252,120.98549
253,71.69799
254,85.789986
258,234.48055
260,
261,193.94453
265,101.61636
266,234.47417
267,203.0558
269,201.09744
270,
275,163.13373
278,108.66885
279,61.907078
286,141.4775
287,101.52289
288,232.55829
289,204.90915
293,118.97522
294,186.33635
297,
302,115.11838
303,75.16035
304,131.37854
307,165.31328
309,78.660385
311,226.91663
312,164.3851
314,231.71005
315,241.1428
319,223.48526
322,185.49136
323,
325,192.09242
327,235.6189
330,81.88516
332,228.04242
333,115.68767
338,181.64352
341,88.120316
345,177.35008
348,191.0274
349,128.46881
350,159.15057
352,
355,61.018093
356,
358,
363,203.00728
369,214.60007
371,75.505005
372,207.92906
375,247.814
380,195.1201
388,115.58281
391,
392,198.37753
393,241.6714
394,100.96398
396,92.2052
401,73.4294
407,78.5403
409,118.01218
410,154.31638
416,125.847145
418,156.7394
420,220.38126
421,218.46518
422,215.75299
424,248.78604
428,201.30894
429,217.52646
431,185.69728
435,33.085575
439,147.62578
441,68.70949
447,90.5563
449,202.57549
451,218.91135
452,106.20132
454,182.50159
458,215.2587
463,202.013
467,77.9881
470,166.556
471,189.92868
474,238.5373
478,115.35217
483,121.213234
484,169.12097
485,115.06033
486,191.49261
491,132.9755
494,109.38646
495,198.55913
497,203.20763
499,221.64171
515,161.08406
518,217.36633
521,137.40048
525,
529,229.07108
532,203.2674
534,92.743835
540,109.22768
544,249.00793
547,215.95764
549,124.0813
563,69.09651
564,223.90746
567,120.13221
572,167.13568
577,185.1831
578,247.1511
585,223.29666
588,208.86295
589,178.89212
590,167.05698
592,87.79473
594,171.08282
596,89.785286
598,213.56503
599,209.57181
605,106.936806
606,182.71283
607,208.2617
608,225.94147
