Id,SalePrice
1461,160848.31
1462,47815.094
1463,183760.33
1464,192972.97
1465,191923.97
1466,172794.47
1467,177970.94
1468,160319.97
1469,187453.16
1470,151983.7
1471,212111.25
1472,129288.35
1473,133309.64
1474,179885.47
1475,130818.76
1476,279821.75
1477,223260.05
1478,250113.33
1479,237864.48
1480,434633.8
1481,290466.72
1482,190852.05
1483,164094.23
1484,171540.06
1485,142921.89
1486,182924.55
1487,311731.47
1488,253023.55
1489,181079.55
1490,223390.47
1491,176910.67
1492,136609.31
1493,180350.42
1494,250393.73
1495,275503.2
1496,232111.3
1497,194468.83
1498,152656.42
1499,154610.42
1500,157324.56
1501,176368.08
1502,145756.39
1503,241971.2
1504,220700.64
1505,229336.39
1506,236578.11
1507,283609.75
1508,206310.62
1509,166168.11
1510,175083.06
1511,170743.14
1512,220804.55
1513,163897.55
1514,182146.39
1515,228308.73
1516,157307.0
1517,141152.47
1518,211427.11
1519,229549.73
1520,154659.52
1521,159477.73
1522,198864.86
1523,144405.03
1524,134928.6
1525,133950.61
1526,133955.11
1527,140295.88
1528,153317.45
1529,167748.31
1530,221080.19
1531,170300.2
1532,122739.76
1533,187901.55
1534,140074.27
1535,166760.64
1536,143325.81
1537,140576.86
1538,158441.78
1539,195552.83
1540,170233.28
1541,168154.98
1542,178831.98
1543,198593.89
1544,118861.76
1545,128916.36
1546,150500.64
1547,159487.33
1548,157262.12
1549,152897.39
1550,176312.72
1551,149723.77
1552,196370.78
1553,152226.48
1554,136590.61
1555,188764.7
1556,124703.48
1557,147011.6
1558,121750.98
1559,148306.72
1560,186233.77
1561,189344.64
1562,137631.55
1563,136742.97
1564,202975.05
1565,165971.86
1566,211595.33
1567,122636.055
1568,217851.84
1569,165497.84
1570,138940.27
1571,144883.42
1572,168674.45
1573,199525.95
1574,168017.73
1575,218723.27
1576,257876.22
1577,179605.4
1578,151523.98
1579,152211.98
1580,183926.98
1581,148683.84
1582,139560.67
1583,320621.72
1584,233225.94
1585,146849.31
1586,85746.1
1587,116132.65
1588,165365.61
1589,147341.88
1590,149093.25
1591,119859.32
1592,156230.69
1593,139050.55
1594,154663.42
1595,151325.86
1596,218869.34
1597,201978.05
1598,151481.53
1599,174710.94
1600,179657.31
1601,97152.26
1602,156262.53
1603,123790.38
1604,267278.88
1605,220739.11
1606,185446.25
1607,267386.9
1608,191475.05
1609,167263.05
1610,144170.2
1611,156479.3
1612,195274.16
1613,199470.36
1614,154439.03
1615,123110.555
1616,116227.19
1617,131662.52
1618,133016.83
1619,145884.23
1620,252437.3
1621,152831.64
1622,158700.28
1623,233478.64
1624,219409.11
1625,138635.45
1626,199385.0
1627,191234.36
1628,240606.69
1629,148351.83
1630,357202.62
1631,202915.05
1632,228974.05
1633,147409.55
1634,183026.42
1635,163404.23
1636,162082.14
1637,220620.39
1638,198339.81
1639,206444.61
1640,241052.11
1641,191256.66
1642,211143.69
1643,208603.17
1644,207327.28
1645,257139.42
1646,166422.19
1647,167530.75
1648,160370.31
1649,146981.84
