id,count
0,97.365105
1,257.5921
2,39.7488
4,98.144684
5,51.94393
10,132.07182
11,147.96152
12,208.48035
15,58.287193
17,24.392107
18,254.11821
23,251.3367
25,150.16205
26,79.20146
31,220.33469
39,201.91394
40,53.17372
41,168.75128
42,
43,201.11078
51,243.17722
52,66.29816
54,87.855705
60,176.68903
61,210.84683
62,164.99121
63,44.542854
65,139.08101
66,126.8538
68,188.76224
71,53.64049
80,89.096565
82,
94,206.90771
98,230.67749
101,46.898895
102,185.11737
107,140.37074
112,238.20291
113,38.77686
115,
116,176.32532
120,88.58884
121,34.23174
122,252.04308
132,189.81934
143,45.207695
147,
150,49.77536
151,62.513138
152,232.16168
153,85.57741
155,51.617542
156,142.5749
159,225.38365
161,85.97098
163,79.55578
177,191.38467
186,87.575714
188,66.49805
190,80.04663
191,100.780655
192,174.52008
195,238.79997
200,203.47601
209,233.35486
210,36.930534
211,242.81442
214,189.33804
215,84.236305
218,164.57353
219,41.127243
222,96.11215
225,61.212276
228,265.66107
236,239.48152
241,77.28405
242,198.38118
243,262.953
245,72.04375
247,247.9168
251,214.27878
252,82.42671
253,49.484898
254,63.78263
258,236.02133
260,
261,202.93967
265,65.85468
266,229.46208
267,175.5816
269,184.52185
270,
275,165.55289
278,77.66478
279,50.933304
286,102.531364
287,65.32027
288,233.22221
289,201.5319
293,80.21368
294,176.52066
297,
302,75.06318
303,42.54736
304,58.652615
307,145.10379
309,60.57017
311,231.86723
312,108.629684
314,229.07278
315,251.18767
319,215.42918
322,170.05368
323,
325,177.16202
327,234.95013
330,61.694786
332,232.90492
333,78.06205
338,168.05917
341,53.922886
345,160.08536
348,170.12529
349,91.12636
350,122.12146
352,
355,43.971344
356,
358,
363,197.41489
369,215.90839
371,51.734486
372,217.7864
375,250.63422
380,189.34642
388,79.30218
391,
392,198.71767
393,243.92638
394,94.08551
396,62.251064
401,62.722584
407,56.863247
409,80.5358
410,150.10239
416,88.53256
418,121.41475
420,216.79646
421,230.29034
422,219.91077
424,260.71857
428,184.02017
429,205.20572
431,169.06924
435,14.757532
439,106.86191
441,29.3267
447,77.71856
449,194.98688
451,227.86324
452,79.099724
454,141.94368
458,205.17026
463,194.86493
467,46.835587
470,152.18703
471,165.47513
474,232.56137
478,86.717545
483,113.42068
484,162.84088
485,77.70282
486,191.26122
491,96.2757
494,73.39421
495,164.11688
497,202.74731
499,228.40825
515,155.25491
518,204.88736
521,97.82099
525,
529,218.63899
532,185.46045
534,63.613987
540,73.849594
544,265.71692
547,212.50871
549,85.5475
563,55.740288
564,230.78232
567,89.33371
572,149.37477
577,171.93048
578,259.59247
585,229.6878
588,209.49109
589,153.05551
590,135.22754
592,57.690258
594,168.07155
596,77.83218
598,191.02423
599,205.39684
605,85.544815
606,179.4083
607,205.72235
608,221.9026
609,
610,219.74696
611,103.64294
614,
615,190.23943
616,219.2938
617,171.53822
618,202.1508
624,118.36949
629,200.18964
631,90.879196
633,69.44812
637,74.77579
638,148.7342
643,
644,197.611
645,64.89703
646,191.54155
648,178.01637
650,75.97726
651,105.14682
652,249.82028
656,179.71155
657,89.70707
659,50.978622
660,163.16832
662,158.78053
665,233.24423
675,
681,177.56851
682,199.22186
685,67.99418
686,229.4879
689,69.73928
696,171.89226
703,202.99963
704,103.65982
705,177.03003
714,208.38525
717,82.63114
718,65.85553
720,77.59746
721,250.46765
723,223.9896
726,66.372
728,178.11154
730,110.76532
731,80.75196
734,268.68628
737,56.886173
738,75.76474
745,200.19492
746,69.15085
749,200.55347
752,68.78897
753,53.312576
758,212.40775
765,59.152206
766,222.0866
768,65.65033
769,235.3935
774,193.26784
775,117.05066
781,
784,231.5807
794,99.86621
795,246.79684
796,71.47858
802,108.640335
803,102.33233
805,60.607018
806,234.0295
807,148.74956
809,58.213985
810,226.84714
812,85.97658
814,120.41168
818,211.27623
819,246.93893
825,11.706968
836,37.9008
839,186.57951
847,245.80972
848,92.84711
851,178.25272
852,192.20741
853,39.447018
857,207.48004
858,88.18934
859,216.27225
861,14.957314
867,163.12946
870,165.67659
871,229.82635
872,263.25488
874,270.15482
881,251.48624
886,184.3609
890,
895,197.5659
899,71.40968
900,223.40768
901,237.39496
902,235.91968
